,Unnamed: 0,lap,start_time,straight,roundabout_entry,roundabout_exit,zebra_crossing,left_turn,u_turn,bypass_dummy,car,pedestrian,traffic_light,narrow_road,dummy,bend,habituation,traffic,hurry,frustration,surprise,risk_outcome,risk_source_env,risk_source_other_usr,risk_source_driver,risk_source_crash,risk_evaluation,violation_no,violation_roadside_invasion,violation_give_the_way,violation_road_signs,violation_heavy_braking,violation_roadside_exit,violation_slowdown,emotion_na,emotion_neutral,emotion_surprise,emotion_anger,emotion_boredom,emotion_fear,emotion_fun,gaze_na,gaze_complete_expl,gaze_partial_expl,gaze_poor_expl,distraction_na,distraction_no,distraction_reduced_attention,distraction_speaking,max_speed,avg_speed,std_speed,yaw,yaw_rate,roll,roll_rate,pitch,pitch_rate,lat_acce,long_acce,vert_acce,avg_acce_pedal_pos,std_acce_pedal_pos,avg_steer_angle,std_steer_angle,hr,hrv_lf,hrv_hf,hrv_lfhf_ratio,gsr_tonic,gsr_phasic,gsr_peaks,EBRmean,BDmean,ThetaFrontal,ThetaParietal,AlphaFrontal,AlphaParietal,LowerAlphaFrontal,LowerAlphaParietal,UpperAlphaFrontal,UpperAlphaParietal,BetaFrontal,BetaParietal,LowerBetaFrontal,LowerBetaParietal,UpperBetaFrontal,UpperBetaParietal
count,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1012.0,1012.0,1012.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,711.0,711.0,711.0,711.0,816.0,816.0,816.0,717.0,715.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0
mean,527.5,3.96875,78.37405303030303,1.1695075757575757,0.2215909090909091,0.18181818181818182,0.4659090909090909,0.26136363636363635,0.11079545454545454,0.001893939393939394,0.05776515151515151,0.05113636363636364,0.08238636363636363,0.029356060606060608,0.01231060606060606,0.07481060606060606,1.0198863636363635,1.625,1.71875,1.8333333333333333,1.862689393939394,1.1827651515151516,0.0,0.0,0.036931818181818184,0.0,0.03787878787878788,0.959280303030303,0.006628787878787879,0.005681818181818182,0.0,0.003787878787878788,0.01893939393939394,0.008522727272727272,0.0,0.9820075757575758,0.003787878787878788,0.0,0.0,0.0,0.016098484848484848,0.0,1.0,0.0,0.0,0.0,0.9517045454545454,0.000946969696969697,0.045454545454545456,9.227805177865612,6.6059716897233205,1.6113078656126483,0.022987537878787878,-0.009062840909090908,0.0048016098484848484,0.04044427083333333,-0.0019050568181818183,-0.08110041666666666,0.10855957386363638,-0.11674538825757576,9.577248428030304,13.710412102272727,12.143899289772726,10.982396884469697,84.00965757575757,85.15563423347398,0.03678302390998593,0.03833488045007032,1.8767808298171587,0.2832211029411765,0.009312193627450982,0.00012033088235294118,10.907491562064155,0.3892686433566434,0.1633371569839308,0.16225792336217554,0.11065309023485785,0.12060226205191595,0.12590813349814586,0.1301820024721879,0.09617954264524103,0.11246213844252165,0.04737239802224969,0.0463885043263288,0.06266839307787392,0.06869233621755254,0.03811260815822003,0.032661718170580965
std,304.98524554476404,2.0136898178380043,47.51623567930055,1.8744119188824835,0.4155139879620884,0.3858773582774628,0.49907281546887106,0.4395857985403172,0.3140273961215235,0.0434987837844047,0.2334093606264194,0.2203801892930276,0.2750827301041471,0.16888247721464078,0.11032035265389488,0.26321015358267663,0.6462303276414968,0.48435230607286706,0.4498222397718513,0.3728545790583811,0.3443380380891466,0.38665698792404923,0.0,0.0,0.18868378997152374,0.0,0.19589350159380234,0.19773373122647087,0.08118551971399081,0.07519900354102517,0.0,0.061458177393873006,0.1363756038599395,0.09196792895849686,0.0,0.13298663275802022,0.061458177393873006,0.0,0.0,0.0,0.12591400720718995,0.0,0.0,0.0,0.0,0.0,0.21449142277437164,0.03077287274483318,0.20839759169857208,3.1893797811471396,2.47860304718771,1.2052683614966078,0.21301948651845504,0.06690211621471247,0.004386192949559501,0.05737627786009813,0.005723555584387586,0.0732357512234768,1.2205328038230128,0.5114433232378622,0.09456566575310257,10.143593952878334,8.944328471817569,107.34179582492573,62.838623547949666,10.896222988942865,0.012498521568828441,0.023063266084526877,1.912420670776357,0.06365937479100803,0.03766650986115842,0.00048808227540082577,5.25789949351376,0.09506968589496942,0.14031576839833143,0.2523269226493718,0.08793792313524137,0.11807103073557436,0.11274076761547576,0.15040423018443091,0.06979316797121968,0.09528923348323458,0.03914859744759267,0.03667036773290026,0.04493653535588656,0.051612681977845555,0.03690372982499225,0.029669486114970285
min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43611,0.21584,0.02694,-0.65674,-0.46431,-0.01147,-0.15864,-0.01464,-0.29992,-5.12219,-2.59434,9.15015,0.0,0.0,-267.29281,0.37883,0.0,0.0,0.0,0.0,-0.42097,2e-05,0.0,0.0,0.0,0.03376,0.02493,0.01991,0.0218,0.0223,0.02195,0.01597,0.01597,0.00771,0.01054,0.01198,0.0155,0.00432,0.00593
25%,263.75,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.954865,4.9211725,0.6979275,-0.0459675,-0.0316325,0.00155,0.002435,-0.00655,-0.13659749999999998,-0.224855,-0.355,9.5017925,6.8664700000000005,5.9647524999999995,-18.8964925,43.602815,76.99297,0.028900000000000002,0.0192,0.601375,0.271935,0.00068,1e-05,7.0,0.31738,0.09203,0.08187,0.05588,0.06162,0.06118,0.06525,0.04917,0.05691,0.02304,0.0241,0.0336,0.03713,0.01642,0.01553
50%,527.5,4.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.081945000000001,6.109235,1.310845,0.01384,0.000475,0.005625,0.04067,-0.0033049999999999998,-0.08481,0.09403500000000001,-0.08043,9.56971,11.86507,9.79623,4.200215,71.016425,85.31307,0.0374,0.036,1.196,0.29788499999999996,0.0016150000000000001,3e-05,10.33333,0.37051,0.12506,0.10728,0.08348,0.09211,0.09072,0.09537,0.07735,0.08866,0.0352,0.0365,0.05028,0.05748,0.02519,0.02346
75%,791.25,6.0,116.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.351385,7.913942499999999,2.181725,0.10407,0.024515000000000002,0.0081625,0.0822075,0.0025375000000000003,-0.0168025,0.5272375,0.1493725,9.664272500000001,17.828522500000002,15.88448,53.1691875,100.68169,93.47414,0.045,0.0545,2.38525,0.3212375,0.004895,9e-05,14.33333,0.43879,0.16996,0.14328,0.13138,0.13118,0.14593,0.13497,0.11593,0.12267,0.05708,0.0517,0.07367,0.07656,0.0454,0.03798
max,1055.0,7.0,224.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,20.51945,17.77856,6.38648,0.79954,0.26732,0.01635,0.19783,0.02752,0.09301,5.16515,1.68523,9.84837,75.5963,47.51368,360.68535,263.46904,111.73494,0.075,0.161,15.3474,0.3308,0.59155,0.00974,37.0,0.90169,1.21435,3.42756,0.6799,1.40798,0.9425,1.96086,0.5104,0.76064,0.39583,0.35245,0.46542,0.5681,0.33829,0.2325
